,category,headline,authors,link,short_description,date
11,CRIME,Florida Police Release Eerie New Surveillance Video In Hunt For Suspected Serial Killer,Mary Papenfuss,https://www.huffingtonpost.com/entry/tampa-bay-serial-killer_us_59f408efe4b07fdc5fbe5b46,"A ""person of interest"" was seen running from area after first Tampa shooting.",2017-10-28
12,POLITICS,My Company Tis of Me: The Donald Trump Presidential Anthem,"Ed Crego and Frank Islam, Contributors",https://www.huffingtonpost.com/entry/my-company-tis-of-me-the-donald-trump-presidential_us_592728dce4b065b396c06b25,Let Trumpdom ring.,2017-05-26
13,POLITICS,The European Union Just Showed Democrats How To Take On Monopolies,Alexander C. Kaufman and Daniel Marans,https://www.huffingtonpost.com/entry/european-union-google-antitrust-democrats_us_59529c3fe4b02734df2dda82,U.S. Democrats have been soft on Big Tech.,2017-06-28
14,POLITICS,Donald Trump Jr. Says Leaked Boasts Of Assault Are 'A Fact Of Life',Daniel Marans,https://www.huffingtonpost.com/entry/trump-jr-assault-fact-of-life_us_580bd253e4b0a03911ed4d01,Not doing his dad any favors.,2016-10-22
15,POLITICS,Ex-Playboy Model Who Claims Affair With Trump Sues To Break Silence,Lydia O'Connor,https://www.huffingtonpost.com/entry/playboy-model-trump-lawsuit_us_5ab14e69e4b008c9e5f1fd7a,"Karen McDougal says a tabloid publisher, Trump's team and her own lawyer conspired to keep her quiet.",2018-03-20
16,POLITICS,Spontaneous Protests Hit Airports Across America Following Trump’s Executive Order,Mary Papenfuss,https://www.huffingtonpost.com/entry/scenes-from-america-rising-up_us_588d6e91e4b08a14f7e67b72,These powerful images show Americans everywhere rallying against the president's immigration crackdown.,2017-01-29
17,CRIME,"Three Arrested With Cache Of Weapons, Some Loaded, Near Holland Tunnel","Joseph Ax, Reuters",https://www.huffingtonpost.com/entry/three-arrested-with-cache-of-weapons-some-loaded-near-holland-tunnel_us_576993bee4b0c0252e777c59,"The FBI says the case has no ""terrorism nexus.""",2016-06-21
18,POLITICS,"Donald Trump, Meet Frederick Douglass","Joan E. Cashin, ContributorCashin is a professor at Ohio State University.",https://www.huffingtonpost.com/entry/frederick-douglass-lives_us_5897657ee4b061551b3dfff1,The president of the United States evidently does not know whether Frederick Douglas is dead or alive. That would be the,2017-02-05
19,POLITICS,"Senate Tax Bill Hurtles Toward Passage, Clears Another Procedural Vote",Arthur Delaney and Igor Bobic,https://www.huffingtonpost.com/entry/tax-bill-advancing-senate_us_5a1f1886e4b017a311ec107e,"Lawmakers are advancing the bill as fast as they can, with some major policy questions unanswered.",2017-11-29
20,POLITICS,Zimmerman To Try Again To Sell Gun Used To Kill Teenager Martin,,https://www.huffingtonpost.com/entry/zimmerman-gun-sale_us_5739f2b2e4b08f96c183aaad,"George Zimmerman, the Florida man who shot and killed the unarmed teenager Trayvon Martin in 2012, will try again this week",2016-05-16
21,POLITICS,Donald Trump Still Has An Adviser Who Called For Hillary Clinton To Be Shot By Firing Squad,Sam Stein,https://www.huffingtonpost.com/entry/donald-trump-clinton-shot_us_57aa56b2e4b0db3be07c30b3,It makes the campaign's latest spin impossible to believe.,2016-08-09
22,POLITICS,Boston Police Confirm They're Using Cell Phone Trackers,"Shawn Musgrave, New England Center for Investigative Reporting",https://www.huffingtonpost.com/entry/boston-police-confirm-theyre-using-cell-phone-trackers_us_56620adfe4b079b2818ebb5c,Since 2013.,2015-12-07
23,POLITICS,Does Religion Matter In Politics?,"James Zogby, ContributorPresident, Arab American Institute; author, 'Arab Voices'",https://www.huffingtonpost.com/entry/does-religion-matter-in-p_b_10660040.html,"Shortly after Tim Kaine had been elected Governor of Virginia in 2006, a discussion ensued among Democratic party leaders about the lessons that could learned from Kaine's victory. Some observations were interesting, others were not. One was particularly off the mark.",2016-06-25
24,POLITICS,Chris Christie: Bombshell Trump Tax Piece Is Actually Good For His Campaign,Sam Stein,https://www.huffingtonpost.com/entry/christie-trump-tax-story_us_57f108e7e4b082aad9bbbd3d,Nothing to see here. Move along.,2016-10-02
25,POLITICS,Gabby Giffords Endorses Hillary Clinton For President,Igor Bobic,https://www.huffingtonpost.com/entry/gabby-giffords-hillary-clinton_us_56928562e4b0cad15e652fa6,"She called Clinton the only candidate who ""has the determination and toughness to stand up to the corporate gun lobby.""",2016-01-10
26,POLITICS,The Case For The Democratic 'Cave',Matt Fuller,https://www.huffingtonpost.com/entry/democrat-cave-shutdown-immigration_us_5a665efbe4b002283005c4ca,It's not really a cave if you're just continuing the fight.,2018-01-22
27,POLITICS,Journalist Matthew Keys Sentenced To 2 Years In Anonymous Hack On LA Times,Ryan J. Reilly,https://www.huffingtonpost.com/entry/matthew-keys-sentence_us_570e6348e4b03d8b7b9efd59,Prosecutors said the former Reuters social media editor had sought revenge on his former employer.,2016-04-13
28,CRIME,"Cop Caught Apparently Kicking, Punching Bystanders In GRAPHIC Video",Simon McCormack,https://www.huffingtonpost.com/entry/hawaii-cop-brutality-video_n_6054730.html,,2014-10-27
29,CRIME,FBI Captures 'Top 10 Most Wanted' Fugitive In Los Angeles,"Brendan O’Brien, Reuters",https://www.huffingtonpost.com/entry/fbi-marlon-jones-arrest_us_5842a0cbe4b0c68e04810d9f,Marlon Jones was wanted in connection with a fatal shooting at a birthday party.,2016-12-03
30,POLITICS,"Live Results: Democratic Contests In Washington, Alaska, Hawaii",,https://www.huffingtonpost.comhttp://elections.huffingtonpost.com/2016/primaries/2016-03-26,"The latest results as Democrats caucus in Washington, Alaska and Hawaii.",2016-03-26
31,POLITICS,Obama To Make Announcement Soon On Afghanistan Troop Levels,,https://www.huffingtonpost.com/entry/obama-afghanistan-troop-levels_n_5389508.html,,2014-05-25
32,POLITICS,,Jonathan Cohn,https://www.huffingtonpost.com/entry/senate-repeal-obamacare_us_596e02e9e4b0b95f893e07dd,"There are a few reasons that party leaders already threw out ""repeal-and-delay"" plans.",2017-07-18
33,POLITICS,Coal Executive Admits Donald Trump Can't Single-Handedly Save The Industry,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/trump-coal-industry_us_58da777ae4b018c4606b99f9,"Despite White House executive orders and gains in overall coal production, jobs-starved Appalachia is forecast to see a 3.3 percent decrease in mining.",2017-03-28
34,POLITICS,No One Knows Who's Behind This Senator's Re-Election Campaign,Paul Blumenthal,https://www.huffingtonpost.com/entry/richard-shelby-dark-money_us_56d4adb0e4b0bf0dab330979,Campaign ads for five-term Senator Richard Shelby have been financed with nearly $1 million in dark money.,2016-03-01
35,CRIME,"Sometimes, Locking Kids Up Makes Matters Worse","Alex R. Piquero, ContributorAshbel Smith Professor of Criminology, The University of Texas...",https://www.huffingtonpost.com/entry/sometimes-locking-kids-up-makes-matters-worse_us_58ab235fe4b026a89a7a2e60,"In an ideal world, correctional institutions should aim to rehabilitate young offenders. When this works, youth make gains",2017-02-20
36,POLITICS,"Yep, I'm Bigoted Against The Basket Of Deplorable Bigots","Kimberly Krautter, ContributorThe Anti-Coulter. A Southern Fried Iconoclast and Cultural Omn...",https://www.huffingtonpost.com/entry/yep-im-bigoted-against-the-basket-of-deplorable-bigots_us_57d579e2e4b0f831f7072139,"Yes, I am proudly, obstinately and intolerantly devoted to my opinion.",2016-09-11
37,CRIME,"Pilot Error, Dust Blamed For Fatal Marine Osprey Crash In Hawaii","Audrey McAvoy, AP",https://www.huffingtonpost.com/entry/fatal-osprey-crash-hawaii_us_5654a763e4b0879a5b0c9cfd,"HONOLULU (AP) — A hybrid aircraft that crashed in Hawaii this year, killing two Marines, flew in sandy or dusty conditions",2015-11-24
38,CRIME,Video Shows Biker Gang Pounding Driver On California Highway,Mary Papenfuss,https://www.huffingtonpost.com/entry/san-francisco-biker-beating-highway-101_us_58c3b8bbe4b0ed71826cf4c1,Police are searching for more than a dozen suspects involved in the attack.,2017-03-11
39,POLITICS,How Elizabeth Warren's Own Book Makes The Case She Should Run For President,Michael McAuliff,https://www.huffingtonpost.com/entry/elizabeth-warren-president_n_5219265.html,,2014-04-27
40,POLITICS,"With More Victories In Sight, Donald Trump’s Camp Shrugs At Cruz-Kasich Pact",Scott Conroy,https://www.huffingtonpost.com/entry/donald-trump-cruz-kasich_us_571e96cce4b0b49df6a8c2d1,"""Hey, it's a free country.""",2016-04-25
41,POLITICS,Everyone From Michele Bachmann To John Boehner Has Made These Big Mistakes,,https://www.huffingtonpost.com/entry/from-michele-bachmann-to-_n_5558149.html,,2014-07-04
42,POLITICS,Mitt Romney Calls On Presidential Candidates To Release Tax Returns,Igor Bobic,https://www.huffingtonpost.com/entry/mitt-romney-tax-returns_us_56a4e0bbe4b0404eb8f1ea95,Wonder whose yuuuge tax returns he has in mind.,2016-01-24
43,POLITICS,HUFFPOLLSTER: Donald Trump Has The Lowest Favorability Of Any Recent President-Elect,Natalie Jackson and Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/donald-trump-favorability_us_582f042be4b030997bbee6d2,"His numbers have improved, but he remains the most disliked in recent history.",2016-11-18
44,POLITICS,We Waste So Much Food That Congress Might Actually Do Something,Arthur Delaney,https://www.huffingtonpost.com/entry/food-waste-date-labels-chellie-pingree_us_576a8deee4b0c0252e77c263,As much as 40 percent of food produced in America gets thrown out.,2016-06-28
45,POLITICS,‘Art Of The Deal’ Co-Author: Trump Is ‘Half Awed And Half Frightened' By Black People,Lee Moran,https://www.huffingtonpost.com/entry/tony-schwartz-donald-trump-black-people_us_5a1698d4e4b0cee6c04e52a8,"""His only way of dealing with them is to attack them,"" said Tony Schwartz.",2017-11-23
46,POLITICS,Sarah Huckabee Sanders Berated Staffers Over McCain Leak,Mary Papenfuss,https://www.huffingtonpost.com/entry/5-leak-huckabee-sanders-tamtrump-on-mccain-leak_us_5af767ace4b0e57cd9fa17f9,And they leaked that too.,2018-05-13
47,CRIME,New Year's Eve Prank Leaves 4-year-old Glued To McDonald's Toilet,Nina Golgowski,https://www.huffingtonpost.com/entry/prank-leaves-girl-glued_us_568a8627e4b014efe0dae81f,Kaya said she painfully peeled herself off the seat before running to her mom in tears.,2016-01-04
48,POLITICS,The New York Times Comes Out Against Fed Interest Rate Hike,Daniel Marans,https://www.huffingtonpost.com/entry/new-york-times-interest-rate-editorial_us_55ef0848e4b002d5c076b69e,"Wage stagnation is a ""clear sign"" the economy is not ready for an interest rate hike, the newspaper argued on Monday.",2015-09-08
49,POLITICS,Plan C: Third-Party Run A Daunting Task For GOP Establishment,Sam Stein and Ryan Grim,https://www.huffingtonpost.com/entry/plan-c-republican-establishment-chattering-about-a-third-party-run_us_57295dcbe4b016f378941d68,The search for a kamikaze candidate begins.,2016-05-04
50,POLITICS,Obamas Celebrate Their Last Thanksgiving At The White House,Sara Bondioli,https://www.huffingtonpost.com/entry/obama-family-thanksgiving_us_583745c4e4b01ba68ac451bb,😢,2016-11-24
51,POLITICS,Elizabeth Warren Slams 'Bizarre' Glass-Steagall Statements From Trump's Treasury Secretary,Paul Blumenthal and Ben Walsh,https://www.huffingtonpost.com/entry/elizabeth-warren-slams-bizarre-glass-steagall-statements-from-trumps-treasury-secretary_us_591f307ee4b03b485cb155cc,“This is like something straight out of George Orwell.”,2017-05-19
52,CRIME,U.S. Prisons Seen Through The Eyes Of 'Birdman Of Alcatraz',"Reuters, Reuters",https://www.huffingtonpost.com/entry/prisons-birdman-of-alcatraz_us_5ba2a4d8e4b0c2784da3c704,"By Kevin Murphy PUBLISHERS WARY More of his writings are to come, with the volumes tracing the rise and degeneration of the",2014-03-02
53,POLITICS,John Hickenlooper Narrowly Wins Colorado Governor's Race,Ashley Alman,https://www.huffingtonpost.com/entry/john-hickenlooper-election-results_n_5826210.html,,2014-11-05
54,POLITICS,"Don't Tell Coal Country, 'That's What You Get For Voting For Trump.'","Nick Mullins, ContributorAuthor of The Thoughtful Coal Miner",https://www.huffingtonpost.com/entry/dont-tell-coal-country-thats-what-you-get-for-voting_us_5a2eb58ee4b0e5443a092a82,Even before the US Senate recently confirmed President Trump’s pick of a former coal executive to head the U.S. Mine Safety,2017-12-11
55,POLITICS,Joe Biden To Skip First Democratic Debate: Report,,https://www.huffingtonpost.comhttp://www.cnn.com/2015/10/01/politics/biden-clinton-2016-democratic-debate/index.html,Washington (CNN) --Vice President Joe Biden has extended his window for deciding whether to jump into the 2016 presidential,2015-10-01
56,POLITICS,"Trump Talked About Banning Lobbyists, Now He Might Put Them In Charge",Paul Blumenthal,https://www.huffingtonpost.com/entry/trump-talked-about-banning-lobbyists-now-he-might-put-them-in-charge_us_592ef98be4b09ec37c310512,Reports say influence-peddlers Corey Lewandowski and David Urban could join the White House staff.,2017-05-31
57,POLITICS,Hardline Immigration Hawks Are Starting To Panic About Donald Trump,Michelle Fields,https://www.huffingtonpost.com/entry/immigration-hawks-donald-trump_us_5772dfa3e4b0d1f85d479996,"Trump's fluctuating positions on his proposed Muslim ban and mass deportations seem ""kind of like barstool philosophizing.""",2016-06-28
58,POLITICS,Bernie Sanders Demands Resignation Of Michigan Governor Over Flint Water Crisis,Sam Levine,https://www.huffingtonpost.com/entry/bernie-sanders-flint-water-crisis_us_569a8fdde4b0778f46f98ce8,The presidential candidate said that an apology was not enough.,2016-01-16
59,POLITICS,How Not to Audit the Pentagon,"William Hartung, ContributorWriter and Foreign Policy Expert",https://www.huffingtonpost.com/entry/how-not-to-audit-the-pentagon_b_9655058.html,"From spending $150 million on private villas for a handful of personnel in Afghanistan to blowing $2.7 billion on an air surveillance balloon that doesn't work, the latest revelations of waste at the Pentagon are just the most recent howlers in a long line of similar stories stretching back at least five decades.",2016-04-10
60,POLITICS,Dowd: Jeb Brings The Same Ol' Bush Gang Back For More,,https://www.huffingtonpost.com/entry/jeb-bushs-brainless-trust_n_6729082.html,,2015-02-22
61,POLITICS,Jeff Sessions Met With Ambassador As U.S.-Russia Tensions Flared,Nick Wing,https://www.huffingtonpost.com/entry/jeff-sessions-russia-timeline_us_58b876c7e4b0a8ded67b6474,"The private talk came as Trump fawned over Putin and just after Obama gave the Russian leader his ""death stare"" over hacking.",2017-03-02
62,CRIME,Prison Escapee Appears In Court,,https://www.huffingtonpost.com/entry/prison-escapee-appears-in-court_us_55d5f27ae4b0ab468da01342,David Sweat is already a convicted cop killer.,2015-08-20
63,POLITICS,Lindsey Graham: Trump Should Apologize For Wiretap Claim Or His Credibility Will 'Suffer',Marina Fang,https://www.huffingtonpost.com/entry/trump-wiretap-claim_us_58d28b6ae4b02d33b747719c,"The GOP senator said that Trump's unsubstantiated claim ""hurts our democracy.""",2017-03-22
64,CRIME,Major Police Group: Mandated Treatment Can Help Some Mentally Ill,"DJ Jaffe, ContributorExecutive Director, Mental Illness Policy Org",https://www.huffingtonpost.com/entry/major-police-group-use-as_b_6065298.html,"The International Association of Chiefs of Police (IACP) approved a resolution calling for greater use of mandated treatment, commonly known as assisted outpatient treatment (AOT), at their annual meeting in Orlando. Research shows that AOT reduces arrest, suicide, involuntary hospitalization and violence by the most seriously mentally ill.",2014-11-01
65,POLITICS,Here Are Some Of The Best Signs From The People's Climate March,Hilary Hanson,https://www.huffingtonpost.com/entry/climate-march-best-signs_us_590498b0e4b02655f83dd266,"""If the environment were a bank, it would have been saved by now.""",2017-04-29
66,CRIME,Nursing Assistant Charged After Posting Nude Video Of 93-Year-Old On Snapchat,"Charles Ornstein, ProPublica",https://www.huffingtonpost.com/entry/nursing-home-nude-video-snapchat_us_569eddd6e4b00f3e9863624f,The most recent in a string of surreptitious recordings by employees of nursing homes and assisted-living centers.,2016-01-20
67,POLITICS,"In A Trump White House, At Least We Could Stop Sweating POTUS’ Every Word",S.V. Date,https://www.huffingtonpost.com/entry/donald-trump-mike-pence-statements_us_57f55606e4b0b7aafe0b970f,Running mate Mike Pence lets everyone know not to worry about what Trump actually says.,2016-10-05
68,POLITICS,"Gardner, Who Called Questions About Women's Health A Distraction, Has Now Voted Nine Times To De-Fund Planned Parenthood","Jason Salzman, ContributorFormer Media Critic, Rocky Mountain News",https://www.huffingtonpost.com/entry/gardner-who-called-questions-about-womens-health_us_59ce9969e4b0f3c468060e77,"Back when he was running for U.S. Senate in 2014, Sen. Cory Gardner (R—CO) dismissed his opponents’ repeated accusations",2017-10-02
69,POLITICS,'Darfur: The Genocide the World Got Tired of',"Eric Reeves, ContributorSenior Fellow at Harvard University’s François-Xavier Bagnoud ...",https://www.huffingtonpost.com/entry/post_8247_b_5683453.html,"Attacks on unarmed and innocent civilians continue to be a daily reality, without any end in sight. It's difficult to escape the conclusion that Darfur is the genocide that people got tired of.  A terrible epitaph in the wake of so many impassioned declarations of ""never again.""",2014-08-16
70,POLITICS,"Invest $500,000 In The Kushner Family, 'Immigrate To The United States'",Sebastian Murdock,https://www.huffingtonpost.com/entry/jared-kushners-family-tries-selling-immigration-status-to-wealthy-chinese_us_590e51e0e4b0d5d9049cf6c3,Wealthy Chinese investors can buy their way into the U.S. with a little help from the Kushners.,2017-05-07
71,POLITICS,"Dear Laura Bush, This Is Not The Way To Help Oppressed Women",Akbar Shahid Ahmed,https://www.huffingtonpost.com/entry/laura-bush-afghanistan-women_us_56e88180e4b0860f99dad871,"Empowering Afghan women is a great cause, but Bush could be harming it.",2016-03-18
72,CRIME,Officer Charged With Murder In Shooting Death Of Justine Damond,Hayley Miller,https://www.huffingtonpost.com/entry/justine-damond-shooting-decision_us_5a3189a9e4b091ca26850118,Minneapolis police officer Mohamed Noor killed Damond in July after she called 911.,2018-03-20
73,POLITICS,Testy Town Halls Driving Many GOP Lawmakers To Simply Duck Them,Sam Stein,https://www.huffingtonpost.com/entry/gop-lawmakers-town-halls_us_58acc338e4b0d0a6ef46158d,"It's 2009 all over again, just a different party in the hot seat.",2017-02-22
74,POLITICS,Those Republican Smears Of The FBI? Don’t Make Me Laugh.,"Steve Heimoff, ContributorPolitical Blogger",https://www.huffingtonpost.com/entry/those-republican-smears-of-the-fbi-dont-make-me-laugh_us_5a312e2fe4b06a512dd69c57,"In the entire 128-year existence of the Wall Street Journal, they have never criticized the Federal Bureau of Investigation",2017-12-13
75,CRIME,Minnesota Police Officers Involved In Philando Castile Shooting Identified,,https://www.huffingtonpost.com/entry/officers-identified-philando-castile_us_577f1c95e4b01edea78d50ce,Minneapolis area police officer Jeronimo Yanez was identified as the patrolman who fatally shot Philando Castile.,2016-07-08
76,POLITICS,Deal Reached To End West Virginia Teacher Strike,Dave Jamieson,https://www.huffingtonpost.com/entry/west-virginia-deal-end-teacher-strike_us_5a9eb69ce4b089ec353ecf5f,Legislators passed a bill giving teachers and state employees a 5 percent raise.,2018-03-06
77,CRIME,Manhunt Ends For Suspect In ‘Execution’ Of California Deputy,Nina Golgowski,https://www.huffingtonpost.com/entry/deputy-killed-california-execution-style_us_5828cc27e4b02d21bbc947f9,“Dennis had a very special relationship with young people and a special place in our hearts at the sheriff’s office.”,2016-11-13
78,POLITICS,Two More Women Accuse Sen. Al Franken Of Inappropriate Touching,Jenavieve Hatch and Zachary Roth,https://www.huffingtonpost.com/entry/al-franken-two-more-women-groping_us_5a15a455e4b09650540ec295,One woman told HuffPost that Franken had grabbed her backside at an event honoring women.,2017-11-23
79,POLITICS,What It Was Like To Be An Openly Gay Candidate For Congress In 1996,Sam Stein and Jason Cherkis,https://www.huffingtonpost.com/entry/candidate-confessional-gay-congress-rick-zbur_us_599c6a88e4b0771ecb07abbd,"The latest ""Candidate Confessional"" podcast looks at a key race in the 1990s.",2017-08-23
80,POLITICS,Trump Goes After Flint Pastor Who Shut Him Down,Willa Frej,https://www.huffingtonpost.com/entry/trump-goes-after-flint-pastor-who-shut-him-down_us_57da94b7e4b0071a6e0574a4,"She was a ""nervous mess"" when she introduced him, he said.",2016-09-15
81,POLITICS,This Congressman Wants To Give You The Right To Sue Union Busters,Dave Jamieson,https://www.huffingtonpost.com/entry/labor-organizing-civil-right_n_5622057.html,,2014-07-26
82,POLITICS,"HuffPost Ticker: November 22, 2016",,https://www.huffingtonpost.com/entry/ticker-2016-11-22_us_583474dfe4b01ba68ac2d74c,"Trump world sparring over secretary of state selection According to the Wall Street Journal, Donald Trump is “leaning toward",2016-11-22
83,POLITICS,Mississippi GOP Sen. Thad Cochran Absent From Congress Due To Illness,Igor Bobic,https://www.huffingtonpost.com/entry/thad-cochran-senate-illness_us_59e4c024e4b04d1d51834c5b,The GOP is short a vote at a critical time for the budget and tax reform.,2017-10-16
84,CRIME,Car Plows Into Diners At Pizza Place,Simon McCormack,https://www.huffingtonpost.com/entry/car-plows-into-people-pizza-miami_n_5934556.html,,2014-10-05
85,POLITICS,Supreme Court Trashes Latest Legal Attack On Obamacare,Cristian Farias,https://www.huffingtonpost.com/entry/supreme-court-obamacare_us_569e765ce4b0cd99679b7e00,The justices already ruled the law constitutional. They're done for now.,2016-01-19
86,POLITICS,"12 Years of Bush Presidencies = 747,000 Net New Private Sector Jobs","Paul Abrams, ContributorLast person on Earth not on Facebook",https://www.huffingtonpost.com/entry/12-years-of-bush-presidencies_b_7298630.html,"As former Governor Jeb Bush (R-FL) flails about trying to use his family name to attract financial and elite support while also desperately trying to distance himself from his brother's disastrous record, there is another problem he cannot run away from: The 12 Bush years were the worst on record for net new private sector job creation.",2015-05-17
87,CRIME,"Staff Interacted Several Times With Vegas Mass Shooter, Hotel Says",Mary Papenfuss,https://www.huffingtonpost.com/entry/mandalay-bay-interacted-killer-stephen-paddock_us_5a502c5ce4b003133ec7dd5a,But it's still not clear if workers saw Stephen Paddock — or his arsenal — the day he killed 58 people.,2018-01-06
88,POLITICS,Richard Burr Says 9/11 Could Have Been Preventable With Mass Surveillance,Jessica Schulberg,https://www.huffingtonpost.com/entry/burr-patriot-act-911_n_7251814.html,,2015-05-10
89,CRIME,Another Times Square 'Spider-Man' Arrested,Sara Gates,https://www.huffingtonpost.com/entry/times-square-spiderman-arrested-groping-woman_n_5519911.html,,2014-06-22
90,POLITICS,Trump Orders Review Of Visa Program To Encourage Hiring Americans,,https://www.huffingtonpost.com/entry/trump-order-visas-buy-american_us_58f678afe4b05b9d613e1438,He's also seeking changes that would boost purchases of American products in federal contracts.,2017-04-18
91,POLITICS,Stop Calling the Iraq War A 'Mistake',"Dennis J. Kucinich, ContributorFormer 16-year member of the U.S. Congress and two-time U.S. p...",https://www.huffingtonpost.com/entry/stop-calling-the-iraq-war_b_5499375.html,"Calling the war a ""mistake"" is the language of denial, not contrition: it minimizes the Iraq War's disastrous consequences, removes blame, and deprives Americans of any chance to learn from our generation's foreign policy disaster.",2014-06-16
92,POLITICS,Inmates Show Solidarity With Anti-Trump Protesters From Behind Bars,Lee Moran,https://www.huffingtonpost.com/entry/inmates-trump-protest-los-angeles_us_582719bee4b02d21bbc8f2e6,Prisoners in Los Angeles flicked their cell lights on and off and banged on windows as demonstrators marched by.,2016-11-12
93,POLITICS,Eric Cantor's New Job,,https://www.huffingtonpost.com/entry/eric-cantor-new-job_n_5750240.html,,2014-09-02
94,POLITICS,Oklahoma Democrat Keeps It Surprisingly Close In Special Legislative Election,Daniel Marans,https://www.huffingtonpost.com/entry/steve-barnes-oklahoma-donald-trump_us_5914ed6de4b0fe039b3380fd,Steve Barnes lost by 2 points in a district that went heavily for Donald Trump.,2017-05-12
95,CRIME,NY Bar Owner Calls Accused ISIS Wannabe A Panhandler Who 'Caused Trouble',,https://www.huffingtonpost.com/entry/accused-isis-wannabe-emanuel-lutchman-called-panhandler_us_5686d173e4b0b958f65bc762,"Restaurant owner John Page says Lutchman ""caused more trouble than positive.""",2016-01-01
96,POLITICS,"NYPD Says It Will Track Use Of Force, Actually Start Disciplining Cops",Christopher Mathias,https://www.huffingtonpost.com/entry/nypd-use-of-force-reforms_us_560d48fae4b0dd85030af152,"“With transparency comes public understanding and with public understanding comes public support.""",2015-10-01
97,POLITICS,Chelsea Clinton Paints Portrait Of Hillary As A Warm Mother,Laura Bassett,https://www.huffingtonpost.com/entry/chelsea-clinton-dnc-speech_us_579ab1f2e4b0693164c0ad88,"PHILADELPHIA ― Hillary Clinton has a reputation for being hardworking, over-disciplined and a bit stiff. But her daughter",2016-07-29
98,POLITICS,Senators Ask DEA To Delay Plans To Criminalize Another Herb,Nick Wing,https://www.huffingtonpost.com/entry/senate-kratom-dea_us_57ed85fde4b0c2407cdcf0a4,Members of both chambers of Congress now want to take a closer look at the DEA's plans to wage war on kratom.,2016-09-30
99,CRIME,Topless Protester Arrested Outside Bill Cosby Retrial,Alanna Vagianos,https://www.huffingtonpost.com/entry/topless-protester-arrested-outside-of-bill-cosby-trial_us_5acb6169e4b07a3485e69dd2,"A woman chanting ""women's lives matter"" reportedly jumped in front of Cosby as he made his way to the courthouse.",2018-04-09
100,POLITICS,"There's A Huge Reality Gap On Obamacare, And This New Poll Proves It",Jonathan Cohn and Mark Blumenthal,https://www.huffingtonpost.com/entry/obamacare-poll-repeal_n_7153216.html,,2015-04-27
