S.no,category,headline,authors,link,short_description,date,text,processed_text,text_length
745,CRIME,WWII Plane That Crashed In Hudson River Was Attempting Emergency Landing,,https://www.huffingtonpost.com/entry/wwii-plane-crash-hudson-river_us_574a36f6e4b03ede441505f8,"The deceased pilot was called an ""extraordinary,"" aviator.",2016-05-29,"WWII Plane That Crashed In Hudson River Was Attempting Emergency Landing The deceased pilot was called an ""extraordinary,"" aviator.",wwii plane crashed hudson river attempting emergency landing deceased pilot called extraordinary aviator,104
3967,POLITICS,"Scott Brown Wrote His Wife A Country Song, Of Course",Ryan Grim and Amanda Terkel,https://www.huffingtonpost.com/entry/scott-brown-wrote-his-wife-a-country-song-of-course_us_55a53997e4b0ecec71bd11b4,"The former Massachusetts senator, whose historical claim to fame comes from losing to two different women in two different states, is a song writer.",2015-07-14,"Scott Brown Wrote His Wife A Country Song, Of Course The former Massachusetts senator, whose historical claim to fame comes from losing to two different women in two different states, is a song writer.",scott brown wrote wife country song course former massachusetts senator whose historical claim fame come losing two different woman two different state song writer,163
4707,POLITICS,Hillary Clinton: Obama Has 'Plenty Of Time' To Nominate Scalia Successor,Christina Wilkie,https://www.huffingtonpost.com/entry/hillary-clinton-supreme-court_us_56bffbbae4b08ffac12596db,"Republicans who block Obama are ""out of step with our history,"" she says.",2016-02-14,"Hillary Clinton: Obama Has 'Plenty Of Time' To Nominate Scalia Successor Republicans who block Obama are ""out of step with our history,"" she says.",hillary clinton obama time nominate scalia successor republican block obama step history say,92
4614,POLITICS,Michelle Nunn vs. David Perdue Nonpartisan Candidate Guide For Georgia Senate Race 2014,"Campus Election Engagement Project, ContributorA national non-partisan project that helps students register t...",https://www.huffingtonpost.com/entry/michelle-nunn-vs-david-pe_b_6009280.html,"Are you looking for a nonpartisan voter guide to the Michelle Nunn vs. David Perdue Senate race? One that will give you an unbiased, no-spin comparison of candidate positions on key issues? That's what our Campus Election Engagement Project guide will give you!",2014-10-19,"Michelle Nunn vs. David Perdue Nonpartisan Candidate Guide For Georgia Senate Race 2014 Are you looking for a nonpartisan voter guide to the Michelle Nunn vs. David Perdue Senate race? One that will give you an unbiased, no-spin comparison of candidate positions on key issues? That's what our Campus Election Engagement Project guide will give you!",michelle nunn david perdue nonpartisan candidate guide georgia senate race looking nonpartisan voter guide michelle nunn david perdue senate race one give unbiased comparison candidate position key issue campus election engagement project guide give,249
1515,POLITICS,It's Here: CBPP's Top Graphs Of The Year!,"Jared Bernstein, ContributorFmr. Obama administration economist; CNBC and MSNBC contributor",https://www.huffingtonpost.com/entry/its-here-cbpps-top-graphs-of-the-year_us_5869baf1e4b0de3a08f8ed42,"Happy new year and welcome to the Center on Budget and Policy Priorities top graphs of 2016 special! I’ll be your host, joined",2017-01-02,"It's Here: CBPP's Top Graphs Of The Year! Happy new year and welcome to the Center on Budget and Policy Priorities top graphs of 2016 special! I’ll be your host, joined",cbpp top graph year happy new year welcome center budget policy priority top graph special host joined,102
823,POLITICS,Somebody Set Fire To Another Mosque In America Last Night,Christopher Mathias,https://www.huffingtonpost.com/entry/tampa-mosque-arson-fire-trump_us_58b0843fe4b0780bac29244a,"It's the third time a mosque in the Tampa, Florida, area has been hit with fire in less than a year.",2017-02-24,"Somebody Set Fire To Another Mosque In America Last Night It's the third time a mosque in the Tampa, Florida, area has been hit with fire in less than a year.",somebody set fire another mosque america last night third time mosque tampa florida area hit fire le year,105
867,POLITICS,Chicago Announces New Police Training For Dealing With Mentally Ill,"Mary Wisniewski, Reuters",https://www.huffingtonpost.com/entry/chicago-police-training_us_56abc02ce4b00b033aaf0772,"The U.S. Justice Department is currently investigating the Chicago police's use of deadly force, among other issues.",2016-01-29,"Chicago Announces New Police Training For Dealing With Mentally Ill The U.S. Justice Department is currently investigating the Chicago police's use of deadly force, among other issues.",chicago announces new police training dealing mentally ill justice department currently investigating chicago police use deadly force among issue,145
3589,CRIME,"Orlando Gunman's Father Says Son Was Upset By Gay Kiss, Not Motivated By Religion",Nick Wing,https://www.huffingtonpost.com/entry/orlando-shooting-religion_us_575d76d5e4b0e39a28add69f,"""We're apologizing for the whole incident,"" his father said.",2016-06-12,"Orlando Gunman's Father Says Son Was Upset By Gay Kiss, Not Motivated By Religion ""We're apologizing for the whole incident,"" his father said.",orlando gunman father say son upset gay kiss motivated religion apologizing whole incident father said,102
1241,POLITICS,Lindsey Graham Slams Ted Cruz Over ISIS,,https://www.huffingtonpost.comhttp://www.realclearpolitics.com/video/2015/12/02/lindsey_graham_ted_cruz_has_done_more_to_help_isis_than_any_senator_other_than_rand_paul.html,"Senator Lindsey Graham (R-SC) speaks with Tom Bevan and Carl Cannon on RealClearRadio, RCP's weekly radio show on Sirius",2015-12-02,"Lindsey Graham Slams Ted Cruz Over ISIS Senator Lindsey Graham (R-SC) speaks with Tom Bevan and Carl Cannon on RealClearRadio, RCP's weekly radio show on Sirius",lindsey graham slam ted cruz isi senator lindsey graham speaks tom bevan carl cannon realclearradio rcp weekly radio show sirius,128
2020,POLITICS,Ted Cruz's Citizenship Status Challenged In Birther Lawsuit,Nick Visser,https://www.huffingtonpost.com/entry/ted-cruz-birthplace_us_56988b8ee4b0778f46f8ef55,Here we go...,2016-01-15,Ted Cruz's Citizenship Status Challenged In Birther Lawsuit Here we go...,ted cruz citizenship status challenged birther lawsuit go,57
7827,CRIME,"Here's What We Know About Stephen Paddock, The Las Vegas Shooting Suspect",Ron Dicker and Melissa Jeltsen,https://www.huffingtonpost.com/entry/las-vegas-shooter-stephen-paddock_us_59d1fec6e4b09538b5093cbf,"Police said the ""sole aggressor"" of the mass shooting killed himself.",2017-10-02,"Here's What We Know About Stephen Paddock, The Las Vegas Shooting Suspect Police said the ""sole aggressor"" of the mass shooting killed himself.",know stephen paddock la vega shooting suspect police said sole aggressor mass shooting killed,93
3050,POLITICS,Thursday's Morning Email: Democrats filibuster nearly 15 hours for gun control,Lauren Weber,https://www.huffingtonpost.com/entry/thursdays-morning-email-democrats-filibuster-nearly-15-hours-for-gun-control_us_57629463e4b05e4be860efef,"Sen. Chris Murphy (D-Conn.), who represents Newtown, led the charge.",2016-06-16,"Thursday's Morning Email: Democrats filibuster nearly 15 hours for gun control Sen. Chris Murphy (D-Conn.), who represents Newtown, led the charge.",thursday morning email democrat filibuster nearly hour gun control chris murphy represents newtown led charge,109
1580,POLITICS,Retail Group Spoofs 'Ferris Bueller' In Ad Bashing Donald Trump's Tariffs,Mary Papenfuss,https://www.huffingtonpost.com/entry/retailers-spoof-ferris-bueller-ad_us_5afa1158e4b044dfffb526d6,"""Tariffs are B-A-D,"" says a deadpan Ben Stein in front of a chalkboard.",2018-05-15,"Retail Group Spoofs 'Ferris Bueller' In Ad Bashing Donald Trump's Tariffs ""Tariffs are B-A-D,"" says a deadpan Ben Stein in front of a chalkboard.",retail group spoof bueller ad bashing donald trump tariff tariff say deadpan ben stein front chalkboard,103
5567,POLITICS,Bush Dropped Out. Here's Where His Voters Might Go.,Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/jeb-bush-supporters-second-choice_us_56c9209be4b041136f174a8b,They're not exactly what you'd call a solid voting bloc.,2016-02-21,Bush Dropped Out. Here's Where His Voters Might Go. They're not exactly what you'd call a solid voting bloc.,bush dropped voter might go exactly call solid voting bloc,58
6273,POLITICS,Pregnancy-Related Deaths Nearly Doubled In Texas After Cuts To Women's Health,Laura Bassett,https://www.huffingtonpost.com/entry/womens-health-texas_us_57b5d949e4b034dc73260bf3,Researchers are puzzled by the sudden spike.,2016-08-18,Pregnancy-Related Deaths Nearly Doubled In Texas After Cuts To Women's Health Researchers are puzzled by the sudden spike.,death nearly doubled texas cut woman health researcher puzzled sudden spike,75
4956,CRIME,Baltimore Police Officer Testifies In His Own Defense At Freddie Gray Trial,"JULIET LINDERMAN AND DAVID DISHNEAU, AP",https://www.huffingtonpost.com/entry/freddie-gray-trial_us_5668f8a7e4b0f290e5220442,"Officer William Porter told  jurors that he didn't call an ambulance for Freddie Gray because Gray was alert, appeared uninjured and didn't complain of any pain or wounds in the back of a police van.",2015-12-10,"Baltimore Police Officer Testifies In His Own Defense At Freddie Gray Trial Officer William Porter told  jurors that he didn't call an ambulance for Freddie Gray because Gray was alert, appeared uninjured and didn't complain of any pain or wounds in the back of a police van.",baltimore police officer testifies defense freddie gray trial officer william porter told juror call ambulance freddie gray gray alert appeared uninjured complain pain wound back police van,189
6908,POLITICS,Why the Central American Children Migrants Need Full Adjudication of Their Protection Claims,"Donald Kerwin, ContributorExecutive Director, Center for Migration Studies",https://www.huffingtonpost.com/entry/the-crisis-facing-childre_b_5601971.html,"As Congress and the Administration consider proposals to eviscerate the heretofore obscure (now demonized) Trafficking Victims Protection Reauthorization Act of 2008 (TVPRA), it makes sense to review the case for change and to query whether the proposed cure might not do more harm than good.",2014-07-19,"Why the Central American Children Migrants Need Full Adjudication of Their Protection Claims As Congress and the Administration consider proposals to eviscerate the heretofore obscure (now demonized) Trafficking Victims Protection Reauthorization Act of 2008 (TVPRA), it makes sense to review the case for change and to query whether the proposed cure might not do more harm than good.",central american child migrant need full adjudication protection claim congress administration consider proposal eviscerate heretofore obscure demonized trafficking victim protection reauthorization act tvpra make sense review case change query whether proposed cure might harm good,282
4393,CRIME,NYPD Detective Caught On Video Allegedly Stealing Money During Raid,Ed Mazza,https://www.huffingtonpost.com/entry/ian-cyrus-raid-video_n_7038304.html,,2015-04-10,NYPD Detective Caught On Video Allegedly Stealing Money During Raid ,nypd detective caught video allegedly stealing money raid,57
2911,POLITICS,Kellyanne Conway: 'Just Because Somebody Says Something Doesn't Make It True',Nick Wing,https://www.huffingtonpost.com/entry/kellyanne-conway-newseum_us_58ee581fe4b08c15f0dbb784,"""It's a great lesson for everyone,"" said the White House adviser.",2017-04-12,"Kellyanne Conway: 'Just Because Somebody Says Something Doesn't Make It True' ""It's a great lesson for everyone,"" said the White House adviser.",kellyanne conway somebody say something make true great lesson everyone said white house adviser,96
237,POLITICS,The Day We Lost RFK: Will His Son Elevate Poverty In His Campaign For Illinois Governor?,"Michael Golden , ContributorAuthor of Unlock Congress and cofounder of One Million Degrees",https://www.huffingtonpost.com/entry/the-day-we-lost-robert-f-kennedy-will-rfks-son-elevate_us_59372de9e4b06bff911d7bce,It was 49 years ago today that RFK died from that killer’s gunshot.,2017-06-07,The Day We Lost RFK: Will His Son Elevate Poverty In His Campaign For Illinois Governor? It was 49 years ago today that RFK died from that killer’s gunshot.,day lost rfk son elevate poverty campaign illinois governor year ago today rfk died killer gunshot,98
4381,POLITICS,"Ivana Trump Says Donald's Not Racist, Just Confused",Willa Frej,https://www.huffingtonpost.com/entry/ivana-trump-donald-racist_us_5a5c967de4b04f3c55a46448,"And sometimes he just says ""silly"" things.",2018-01-15,"Ivana Trump Says Donald's Not Racist, Just Confused And sometimes he just says ""silly"" things.",ivana trump say donald racist confused sometimes say silly thing,64
2443,POLITICS,U.S. Protects Giant Piece Of Atlantic Ocean To Save Centuries-Old Corals,Nick Visser,https://www.huffingtonpost.com/entry/atlantic-ocean-protection-corals_us_585180dee4b092f08686b0f5,New rules for a Virginia-sized ocean region ban damaging commercial fishing practices.,2016-12-15,U.S. Protects Giant Piece Of Atlantic Ocean To Save Centuries-Old Corals New rules for a Virginia-sized ocean region ban damaging commercial fishing practices.,protects giant piece atlantic ocean save coral new rule ocean region ban damaging commercial fishing practice,109
5662,CRIME,Morgan Martin Missing: Mother Worried About Her Pregnant Daughter,,https://www.huffingtonpost.com/entry/morgan-martin-missing_us_5ba2bd36e4b0c2784da55212,"The man that Morgan says is the father has been interviewed by police, MyFox Tampa Bay reports. Morgan is 5-feet-2 and weighs",2012-08-05,"Morgan Martin Missing: Mother Worried About Her Pregnant Daughter The man that Morgan says is the father has been interviewed by police, MyFox Tampa Bay reports. Morgan is 5-feet-2 and weighs",morgan martin missing mother worried pregnant daughter man morgan say father interviewed police myfox tampa bay report morgan weighs,132
5743,POLITICS,Supreme Court Justices Look Anew At Affirmative Action In Texas,"Mark Sherman, Associated Press",https://www.huffingtonpost.com/entry/supreme-court-affirmative-action-texas_us_56644ad8e4b08e945fefd3d3,Here we go again.,2015-12-06,Supreme Court Justices Look Anew At Affirmative Action In Texas Here we go again.,supreme court justice look anew affirmative action texas go,59
3032,CRIME,Texas To Execute Man For Murdering Boy And Drinking His Blood,,https://www.huffingtonpost.com/entry/texas-to-execute-boy-killer_us_57053c7ee4b0a506064dded5,"Pablo Vasquez, 38, will be put to death by lethal injection for the 12-year-old boy's gruesome killing.",2016-04-06,"Texas To Execute Man For Murdering Boy And Drinking His Blood Pablo Vasquez, 38, will be put to death by lethal injection for the 12-year-old boy's gruesome killing.",texas execute man murdering boy drinking blood pablo vasquez put death lethal injection boy gruesome killing,108
3266,POLITICS,House Science Committee Flouts Ethics Rules By Promoting RNC Press Release As News,Alexander C. Kaufman,https://www.huffingtonpost.com/entry/house-science-committee-flouts-ethics-rules-by-promoting-rnc-press-release-as-news_us_594c26a4e4b0da2c731a67d1,It's the latest dubious source pushed by an increasingly political committee.,2017-06-22,House Science Committee Flouts Ethics Rules By Promoting RNC Press Release As News It's the latest dubious source pushed by an increasingly political committee.,house science committee flouts ethic rule promoting rnc press release news latest dubious source pushed increasingly political committee,136
4781,POLITICS,This Could Be The Last Big Anti-Poverty Effort Of Obama's Presidency,Jonathan Cohn,https://www.huffingtonpost.com/entry/obama-tax-deal-poverty_us_56624f4fe4b079b2818ee04e,"The tax deal would have bipartisan support, but fiscal hawks are sweating.",2015-12-05,"This Could Be The Last Big Anti-Poverty Effort Of Obama's Presidency The tax deal would have bipartisan support, but fiscal hawks are sweating.",could last big effort obama presidency tax deal would bipartisan support fiscal hawk sweating,93
